person_id,label,name_key,highest_rank,n_mentions,years_present,n_waves,name_variants
P00032,Boyé Jean André,boi gean andr,,11,1932;1938;1942;1947;1950,5,Boyé Jean André
P00033,Brereton H. K,brereton,,2,1932,1,Brereton H. K
P00034,Campos A,kampos,,1,1932,1,Campos A
P00035,Campos Benvenuto,kampos benvenuto,,10,1932;1938;1942;1947;1950,5,Campos Benvenuto
P00036,Campos Giuseppe,kampos giusep,,10,1932;1938;1942;1947;1950,5,Campos Giuseppe
P00037,Cantoni Charles,kantoni sharles,,1,1932,1,Cantoni Charles
P00038,Carver H. B,karver,,16,1932;1938;1942;1947;1950,5,Carver F. E | Carver F.E | Carver H. B | Carv·er H.B
P00039,Cattaui Aslan,kataui bei aslan,bey,13,1932;1938;1942;1947;1950,5,Cattaui Aslan | Cattaui Bey Aslan J
P00040,Cattaui Edgard de,kataui edgard,,2,1932,1,Cattaui Edgard de
P00041,Cattaui Elie J,kataui eli,,2,1932,1,Cattaui Elie J
P00042,Cattaui E:mile,kataui emil,,3,1932;1938;1942,3,Catlaui Emile | Cattaui E:mile | Cattaui Emile
P00043,Cattaui Joseph A.,kataui pasha gosef,pasha,16,1932;1938,2,Cattaui Joseph A. | Cattaui Pacha Joseph A
P00044,Cattaui René,kataui ren,bey,20,1932;1938;1942;1947;1950,5,Cattaui René
P00045,Chafik Pacha Mohamed,shafik pasha moamed,,2,1932,1,Chafik Pacha Mohamed
P00046,Constantin Jean Choremi Assocjé de la Y.Iaison Choremi,konstantin gean shoremi asokg la iaison shoremi,,5,1932;1947;1950,3,Choremi E. S | Choremi E.S | Constantin Jean Choremi Assocjé de la Y.Iaison Choremi
P00047,Choucry Mahmoud Pacha Ancien :\Iinistrc,shukri mahmud pasha ansien inistrk,,6,1932,1,Choucry Mahmoud Pacha Ancien :\Iinistrc
P00048,Christomanos A. Max,shristomanos max,,8,1932;1938,2,Christomanos A. Max | Christomanos Max
P00049,Cicurel David,sikurel david,,6,1932;1938;1942;1947,4,CicUl'el David | Cicurel David
P00050,Cicurel Joseph,sikurel gosef,,1,1932,1,Cicurel Joseph
P00051,Cohen Alfred N,koen alfred,,10,1932;1942;1947;1950,4,Cohen Alfred N | Cohen N. Alfred
P00052,Edward Cook C.S.I,eduard kok,,1,1932,1,Edward Cook C.S.I
P00053,Cook John Lt.-Col. A. Gt. D.S.O,kok gohn lt kol gt,,1,1932,1,Cook John Lt.-Col. A. Gt. D.S.O
P00054,G. Corsi,korsi,,1,1932,1,G. Corsi
P00055,Diacono Robert M.B.E,diakono robert,,1,1932,1,Diacono Robert M.B.E
P00056,Emine Yehia,emin ieia,pasha,6,1932,1,Emine Yehia
P00057,Empain François,empain frankois,,4,1932,1,Empain François
P00058,Fakhry Mahmoud,fakhri pasha mahmud,pasha,6,1932;1947;1950,3,Fakhry Mahmoud | Fakhry Pacha Mahmoud
P00059,Fenderl Hugo,fenderl hugo,,4,1932;1942;1950,3,Fenderl Hugo
P00060,Finney Harold E,finei harold,,8,1932;1938;1947;1950,4,Finney Harold | Finney Harold E
P00061,Finney Oswald J,finei osuald,,20,1932;1938,2,Finney Oswald | Finney Oswald J
P00062,Fitzgerard Francis C. R. E,fitzgerard fransis,,4,1932;1938,2,Fitzgei·ald Francis | Fitzgerard Francis C. R. E
P00063,Foster G. C,foster,,2,1932;1938,2,Foster G. C
P00064,Friend Astley P,friend astlei,,2,1932,1,Friend Astley P
P00065,Fumaroli J,fumaroli,,10,1932;1938;1942;1947;1950,5,Fumaroli | Fumaroli J
P00066,Galal Fahim,galal faim,bey,1,1932,1,Galal Fahim
P00067,Gallini Fahmi,galini fahmi,pasha,1,1932,1,Gallini Fahmi
P00068,GarofaiiO Douca,garofaio duka,,1,1932,1,GarofaiiO Douca
P00069,Gasche Linus,gash linus,,21,1932;1938;1942;1947;1950,5,Gasche Linus
P00070,Gianotti Vittorio,gianoti vitorio,,4,1932,1,Gianotti Vittorio
P00071,Goar Edwin N. J,goar eduin,,6,1932;1938;1942;1950,4,Goal' Edwin N. J | Goar Edwin N. J | Goar Edwin N.J
P00072,Comm. Grassi Carlo,kom grasi karlo,,1,1932,1,Comm. Grassi Carlo
P00073,Grimprel Maurice,grimprel mauris,,5,1932,1,Grimprel Maurice
P00074,Hassan Said,hasan said,pasha,2,1932,1,Hassan Said
P00075,Hault,hault,,2,1932,1,Hault
P00076,Hecht Van Der L,hesht der,,2,1932,1,Hecht Van Der L
P00077,Henein Sadik,henein sadik,pasha,1,1932,1,Henein Sadik
P00078,Nationale>>,national,,1,1932,1,Nationale>>
P00079,Home John,hom gohn,,3,1932,1,Home John
P00080,Home F. J,hom,,1,1932,1,Home F. J
P00081,Homsby Bertram,homsbi bertram,,3,1932,1,Homsby Bertram
P00082,Ithier Gaston,ithier gaston,,3,1932,1,Ithier Gaston
P00083,Jacobs Emile,gakobs emil,,10,1932;1942;1947;1950,4,Jacobs Emile
P00084,Jacot J. G. Descombes Ing,gakot deskombes ing,,3,1932,1,Jacot J. G. Descombes Ing
P00085,Jullien Léopold Ingénieur Agricole,gulien leopold ingenieur agrikol,,3,1932,1,Jullien Léopold Ingénieur Agricole
P00086,Karam Edouard,karam eduard,,10,1932;1942,2,Karam Edouard
P00087,Kerihuel V. J,keriuel,,2,1932,1,Kerihuel V. J
P00088,Kitroeff Alex. Th,kitroef alex th,,1,1932,1,Kitroeff Alex. Th
P00089,Klat Bey Dimitri,klat bei dimitri,,1,1932,1,Klat Bey Dimitri
P00090,Klat Jules,klat gules,bey,33,1932;1938;1942;1947;1950,5,Klat Jules | Klat J·ules
P00091,Labruyère René Julien,labruier ren gulien,,4,1932;1938,2,Labruyère René Julien | Labruyèœ René Julien
P00092,Lagonico S,lagoniko,,5,1932;1938,2,Lagonico S
P00093,Lascaris Mario,laskaris mario,,13,1932;1938;1942;1950,4,Lascaris Mario | Lascaris Mario A
P00094,Levi Guido,levi guido,,10,1932;1938;1947,3,Levi Guido
P00095,Lian Alfred,lian alfred,,20,1932;1942;1947;1950,4,Lian Alfred
P00096,Lindemann Hugo,lindeman hugo,,9,1932,1,Lindemann Hugo
P00097,Lowe A. J,lu,,18,1932;1938;1942;1947;1950,5,Lowe | Lowe A. J | Lowe A.J
P00098,Lozi Bey Abd el Fattah el,lozi bei abd fatah,,1,1932,1,Lozi Bey Abd el Fattah el
P00099,Lumbroso Jean,lumbroso gean,,2,1932,1,Lumbroso Jean
P00100,Marcovitch Jacques,markovitsh gakues,,1,1932,1,Marcovitch Jacques
P00101,Mazloum Hassan,mazlum hasan,pasha,34,1932;1938;1942;1947,4,Mazloum Hassan
P00102,Menasce Baron Félix de,menas baron felix,,5,1932,1,Menasce Baron Félix de
P00103,Minost Emile,minost emil,,8,1932;1938;1950,3,Minost Emile
P00104,Mohamed Mahmoud Bey Khalil Avocat,moamed mahmud bei khalil avokat,,3,1932,1,Mohamed Mahmoud Bey Khalil Avocat
P00105,Monnerat E. Ing,monerat ing,,4,1932,1,Monnerat E. Ing
P00106,Morin Jean,morin gean,,3,1932;1938,2,Mo1·in Jean | Morin Jean
P00107,Mosséri Elie N,moseri eli,,25,1932;1938,2,Mosseri Elie N | Mosséri Elie N
P00108,Mosseri Joseph,moseri gosef,,1,1932,1,Mosseri Joseph
P00109,Mosseri Maurice N,moseri mauris,,36,1932;1938;1942;1947;1950,5,Mosseri Maurice | Mosseri Maurice N | Mosséri Maurice N
P00110,Mosseri J. Nessim,moseri nesim,,1,1932,1,Mosseri J. Nessim
P00111,Nakhla Pacha El Motei Ancien Magistrat,nakhla pasha motei ansien magistrat,,1,1932,1,Nakhla Pacha El Motei Ancien Magistrat
P00112,Naeff Emile,naef emil,,2,1932,1,Naeff Emile
P00113,Naggiar F. Victor,nagiar viktor,,1,1932,1,Naggiar F. Victor
P00114,Nahman Enrico,nahman enriko,,2,1932,1,Nahman Enrico
P00115,Nathan J. Edward,nathan eduard,,4,1932;1938,2,Nathan Edward | Nathan J. Edward
P00116,Naus Henry,naus bei henri,bey,37,1932;1938,2,Naus Bey Henri C.B.E | Naus Henry
P00117,Nubar Arakel,nubar arakel,pasha,11,1932;1938;1947;1950,4,Nuba1· Arakel | Nubar Arakel
P00118,Pegna E,pegna,,10,1932;1942;1947;1950,4,Pegna E
P00119,Perrott C.H,perot,,2,1932,1,Perrott C.H
P00120,Pilavachi C,pilavashi,,4,1932,1,Pilavachi C
P00121,Pinto Silvio,pinto kav silvio,,16,1932;1938;1942;1947;1950,5,Pinto Cav. Silvio | Pinto Comm. Silvio | Pinto Silvio
P00122,Piot Bey J.B,piot bei,,3,1932,1,Piot Bey J.B
P00123,Polnauer L,polnauer,,3,1932,1,Polnauer L
P00124,Ràbbath Sélim,rabat selim,,6,1932;1938;1942,3,Rabbat Sélim | Rabbath Sélim | Ràbbath Sélim
P00125,Raybaud Max,raibaud max,,5,1932;1938;1942;1947;1950,5,Raybaud Max
P00126,Reinhart Alfred,reinhart alfred,,5,1932,1,Reinhart Alfred
P00127,Richmond T.S,rishmond,,7,1932,1,Richmond T.S
P00128,Riquez Cav. Uff. Giuseppe,rikuez kav uf giusep,,4,1932,1,Riquez Cav. Uff. Giuseppe
P00129,Rolin Léon,rolin leon,,3,1932,1,Rolin Léon
P00130,Rolo Max,rolo max,,5,1932;1942;1947;1950,4,Rolo Max
P00131,Rolo Robert J,rolo robert,,19,1932;1947;1950,3,Rolo Robert J | Rolo Robert S. C.B.E | Roto Robert J
P00132,Rom François,rom frankois,,12,1932;1942;1947;1950,4,Rom François | Rustom François P
P00133,Rowlatt Sir F.T. K.B.E,rulat sir,,2,1932,1,Rowlatt Sir F.T. K.B.E
P00134,Safouat Pacha Mohamed,safuat pasha moamed,,1,1932,1,Safouat Pacha Mohamed
P00135,Salvago Micliel,salvago mikliel,,5,1932,1,Salvago Micliel
P00136,Salvago Constantin M,salvag konstantin,,21,1932;1938;1947;1950,4,Salvag-o Constantin | Salvago Constantin M
P00137,Lionello Scelsi,lionelo selsi,,3,1932,1,Lionello Scelsi
P00138,Shamà Elie F,shama eli,,2,1932;1947,2,Shamà Elie F
P00139,Sidi Vitali,sidi vitali,,3,1932;1938,2,Sidi Vitali
P00140,Spetseropoulo G. D,spetseropulo,,3,1932;1938,2,Spetseropoulo D | Spetseropoulo G. D | Spetseropoulo G.D
P00141,Strologo G. D,strologo,,7,1932;1938,2,Strologo G. D | Strologo R. C | Strologo R.C
P00142,Suarès Alfred,suares alfred,,1,1932,1,Suarès Alfred
P00143,Suarès Fernand,suares fernand,,1,1932,1,Suarès Fernand
P00144,Suarès Jacques,suares gakues,,3,1932;1938,2,Suarès Jacques
P00145,Léon Suarès,leon suares,,2,1932,1,Léon Suarès
P00146,Sultan Dr. Fouad,sultan fuad,bey,35,1932;1938;1942;1947;1950,5,Sultan Dr. Fouad | Sultan Fouad
P00147,Sursock Nicolas A,sursok nikolas,,4,1932;1938,2,Smsock Nicolas A | Sursock Nicolas A
P00148,Sursock Vladimir,sursok vladimir,,7,1932;1947;1950,3,Sursock Vladimir
P00149,Talaat Harb,talat harb,pasha,6,1932,1,Talaat Harb
P00150,Takla G.,takla,pasha,10,1932;1938;1942,3,Takla G.
P00151,Toriel Elie,toriel eli,,2,1932,1,Toriel Elie
P00152,Toriel Raphael,toriel rafael,,11,1932;1942,2,Toriel Raphael
P00153,Trembley Ernest,tremblei ernest,,9,1932;1942;1947,3,Trembley Ernest
P00154,Vais Ezio,vals ezio,,5,1932;1938;1942,3,Vais Ezio | Vals Ezio
P00155,Vannucci Comm. Gr·isante,vanuksi kom grisant,,13,1932;1938;1942;1947,4,Vannucci Comm. Grisante | Vannucci Comm. Gr·isante | Vannucci Comtm. Grisante | Vannucci Grisante
P00156,Vincenot,vinsenot,,5,1932;1938,2,Vincenot | Vincenot M
P00157,Watson C. J,uatson,,1,1932,1,Watson C. J
P00158,Wellhoff Salomon,uelhof salomon,,14,1932;1938;1942,3,Wcllhofï Salomon | Wellhoff Salomon
P00159,Williamson John,uiliamson gohn,,1,1932,1,Williamson John
P00160,Wood Smith K.B,uod smith,,1,1932,1,Wood Smith K.B
P00161,Zarifi Th,zarifi th,,1,1932,1,Zarifi Th
P00162,Zerbini Dimitri J,zerbini dimitri,,1,1932,1,Zerbini Dimitri J
P00163,Sir Ziwer Ahmed,sir ziuer ahmed,pasha,1,1932,1,Sir Ziwer Ahmed
P00164,Abaza Abele! Ilamid,abaza abel ilamid,bey,1,1938,1,Abaza Abele! Ilamid
P00165,Abaza Fouad,abaza fuad,pasha,12,1938;1950,2,Abaza Fouad
P00166,Abboud Ahmed,abud ahmed,pasha,11,1938;1947,2,Abboud Ahmed | Abboud Mohamed Ahmed
P00167,Abele! Rahim Hussein Me,abel raim husein m,,2,1938;1942,2,Abdel Rahim Hussein Me | Abele! Rahim Hussein Me
P00168,Abdel Rahman Fayed,abdel rahman faied,,3,1938;1947;1950,3,Abdel Rahman Fayed
P00169,Abdel Rahman Hamada,abklel rahman hamada,pasha,15,1938;1947;1950,3,Abclel Rahman Hamada. | Abdel Rahman Hamada
P00170,Abdel Rahman Rida,abdel rahman rida,pasha,2,1938,1,Abdel Rahman Rida
P00171,Aboul Ela Mahmoud,abul ela mahmud,,5,1938;1947;1950,3,Aboul Ela Mahmoud | About Ela Mahmoud
P00172,Aboul Ela Meheissen El llag,abul ela meisen lag,,1,1938,1,Aboul Ela Meheissen El llag
P00173,Acher Abl'amino S,asher abl amino,,2,1938,1,Acher Abl'amino S
P00174,Adela Césal' V,adela sesal,,1,1938,1,Adela Césal' V
P00175,Adda Femand C.A,ada femand,,1,1938,1,Adda Femand C.A
P00176,Adda Hené i\le,ada hen il,,1,1938,1,Adda Hené i\le
P00177,Adda Victot· A,ada viktot,,2,1938,1,Adda Victot· A
P00178,Adès Elie N,ades eli,,1,1938,1,Adès Elie N
P00179,Adès Gaston N,ades gaston,,4,1938;1942;1947;1950,4,Adès Gaston N
P00180,Adès Uaphaël,ades uafael,,1,1938,1,Adès Uaphaël
P00181,Aghiou,aghiu,,1,1938,1,Aghiou
P00182,Agnew Anch·ew,agneu ansheu,,2,1938,1,Agnew Anch·ew
P00183,Allain Maurice,alain mauris,,1,1938,1,Allain Maurice
P00184,Allard Josse-Louis Baron,alard gos luis baron,,1,1938,1,Allard Josse-Louis Baron
P00185,Allemann Georges,aleman georges,,18,1938;1942;1947;1950,4,Allemann Georges
P00186,Alphandary Robert,alfandari robert,,4,1938;1947;1950,3,Alphandary Robert
P00187,Ambron Aldo,ambron aldo,,8,1938;1947;1950,3,Ambron Aldo
P00188,Amiel Raphaël,amiel rafael,,1,1938,1,Amiel Raphaël
P00189,Amin Samy,amin sami,pasha,1,1938,1,Amin Samy
P00190,Ancll'il t Col. Maurice,ankl il kol mauris,,3,1938,1,Ancll'il t Col. Maurice
P00191,Angeloglou Jean L,angeloglu gean,,1,1938,1,Angeloglou Jean L
P00192,Armstrong AHred,armstrong ahred,,1,1938,1,Armstrong AHred
P00193,At·msh·ong Lord,atmshong lord,,1,1938,1,At·msh·ong Lord
P00194,At·slan Abclalla,atslan abklala,bey,2,1938,1,At·slan Abclalla
P00195,Alla,ala,,3,1938,1,Alla
P00196,Audebeau Charles,audebeau sharles,bey,1,1938,1,Audebeau Charles
P00197,Auet· Conrad,auet konrad,,2,1938;1947,2,Auer Conrad | Auet· Conrad
P00198,Awad Elias,auad elias,pasha,1,1938,1,Awad Elias
P00199,Awre Gilbm·t Chl'istophet·,aur gilbmt shl istofet,,1,1938,1,Awre Gilbm·t Chl'istophet·
P00200,Axeh·ood Matt M,axeod mat,,2,1938;1942,2,Axeh·ood Matt M | Axelrood Matt M
P00201,Bahad Tewfik,bad teufik,,2,1938,1,Bahad Tewfik
P00202,Barl{aï Ben Zion,barlai zion,,1,1938,1,Barl{aï Ben Zion
P00203,"Bal""lœr A. H",baloer,,1,1938,1,"Bal""lœr A. H"
P00204,Bat·ker,batker,,9,1938,1,Bat·ker
P00205,Barld Edouard,barld eduard,,1,1938,1,Barld Edouard
P00206,Ballino Elliott,balino eliot,,1,1938,1,Ballino Elliott
P00207,Beattie Thomas,beatik thomas,,3,1938;1947;1950,3,Beattic Thomas | Beattie Thomas
P00208,Bégué Emile,begu emil,,8,1938;1942;1947;1950,4,Begué Emile | Bégué Emile
P00209,Bchl'Cnd J. L,bshl knd,,2,1938,1,Bchl'Cnd J. L
P00210,Bella Alfl'cd,bela alfl kd,,1,1938,1,Bella Alfl'cd
P00211,Ben Asher Moïse,asher mois,,1,1938,1,Ben Asher Moïse
P00212,Benachi Alexandre L,benashi alexandr,,2,1938;1950,2,Benachi Alexandre L
P00213,Benachi Lucas Ant,benashi lukas ant,,3,1938;1950,2,Benachi Lucas Ant
P00214,Bendedi,bendedi,,1,1938,1,Bendedi
P00215,Benderli Simon,bendel li simon,,5,1938;1942;1947;1950,4,Bendel'li Simon | Benderli Simon
P00216,Benoist B:uon Louis de,benoist buon luis,,3,1938,1,Benoist B:uon Louis de
P00217,Besso Joseph M,beso gosef,,8,1938;1950,2,Besso Joseph M
P00218,Usines Textiles Al-Kallira,usines textiles kalira,,3,1938,1,Usines Textiles Al-Kallira
P00219,BoHon Halph Peter,bon half peter,,1,1938,1,BoHon Halph Peter
P00220,Bomonti Cm't,bomonti km,,1,1938,1,Bomonti Cm't
P00221,Bordier Pierre,bordiet pier,,4,1938;1942;1947;1950,4,Bordier Pierre | Bordiet· Pierre
P00222,Bosiano Constantin,bosiano konstantin,,1,1938,1,Bosiano Constantin
P00223,Bouchra Hanna Chal'les,bushra hana shal les,,2,1938,1,Bouchra Hanna Chal'les
P00224,Boulle Léon,bul leon,,2,1938,1,Boulle Léon
P00225,Bolll're Edouard,bol r eduard,,3,1938,1,Bolll're Edouard
P00226,Boyer P,boier,,2,1938,1,Boyer P
P00227,Bmndt El'llsl,bmndt lsl,,1,1938,1,Bmndt El'llsl
P00228,Brereton II. R,brereton i,,2,1938,1,Brereton II. R
P00229,Bridson IL,bridson il,,1,1938,1,Bridson IL
P00230,Bt·mmer :Frédéric,btmer frederik,,1,1938,1,Bt·mmer :Frédéric
P00231,Buchlea Constantin Dr,bushlea konstantin dr,,3,1938;1942,2,Buchlea Constantin Dr
P00232,Hungenet· Alexand1·e,hungenet alexand,,2,1938,1,Hungenet· Alexand1·e
P00233,Burlet Charles de,burlet sharles,,2,1938;1942,2,Burlet Charles de
P00234,Buxton Robert V,buxton robert,,5,1938;1947;1950,3,Buxton Robert V
P00235,Cadéménos Stavros Me,kademenos stavros m,,1,1938,1,Cadéménos Stavros Me
P00236,Caias Pantazi,kaias pantazi,,2,1938;1942,2,Caias Pantazi
P00237,Calambokidis A,kalambokidis,,1,1938,1,Calambokidis A
P00238,Callens Auguste,kalens august,,4,1938;1942;1947,3,Callens Auguste
P00239,Campbell The Hon,kampbel th hon,,1,1938,1,Campbell The Hon
P00240,Campos Amedgo,kampos amedgo,,1,1938,1,Campos Amedgo
P00241,Campos Hans,kampos hans,,4,1938;1942;1947;1950,4,Campos Hans
P00242,Ca1·ter Robm1,kater robm,,1,1938,1,Ca1·ter Robm1
P00243,Carton de Wiart Edmond Baron,katon uiart edmond baron,,4,1938;1942;1947;1950,4,Ca1·ton de Wiart Edmond Baron | Carton de Wiart Edmond Baron | Carton de Wiart Edmond Baron K.B.E
P00244,Cassavetti Demetl'ious John,kasaveti demetl ius gohn,,1,1938,1,Cassavetti Demetl'ious John
P00245,Castelletti,kasteleti,,1,1938,1,Castelletti
P00246,Castro Charles V,kastro sharles,,3,1938;1947;1950,3,Castro Charles V
P00247,Casulli Jean N,kasuli gean,,1,1938,1,Casulli Jean N
P00248,Casulli Michel S,kasuli mishel,,9,1938;1947;1950,3,Casulli Michel S
P00249,Cattaui Hector de,kataui hektor,,1,1938,1,Cattaui Hector de
P00250,Chaaraoui Hassan,sharaui hasan,pasha,3,1938;1947;1950,3,Chaaraoui Hassan
P00251,Chalom C,shalom,,2,1938,1,Chalom C
P00252,Chale Charles Geoîh·ey,shal sharles geoiei,,1,1938,1,Chale Charles Geoîh·ey
P00253,Choremi Georges J,shoremi georges,,5,1938;1942;1947;1950,4,Choremi Georges J
P00254,Choucri Mahmoud,shukri mahmud,pasha,8,1938,1,Choucri Mahmoud
P00255,Cicurel Elvira Mme,sikurel elvira m,,1,1938,1,Cicurel Elvira Mme
P00256,CicUl'cl J'oseph,sikul kl osef,,2,1938,1,CicUl'cl J'oseph
P00257,Clark G. H,klark,,1,1938,1,Clark G. H
P00258,Clark Henry,klarl henri,,3,1938;1947;1950,3,Clark Henry | Clarl< Henry
P00259,Coconi Jean D,kokoni gean,,1,1938,1,Coconi Jean D
P00260,Coen Edouard,koen eduard,,4,1938;1942;1947;1950,4,Coen Edouard
P00261,Coen James,koen games,,4,1938;1942;1947;1950,4,Coen James
P00262,Coen Maul'izio,koen maul izio,,1,1938,1,Coen Maul'izio
P00263,Cogels Baron Jean,kogels baron gean,,2,1938;1947,2,Cogels Baron Jean
P00264,Cohen Aron,koen aron,,4,1938;1942;1947;1950,4,Cohen Aaron | Cohen Aron
P00265,Cohen Alîred N,koen alired,,2,1938,1,Cohen Alîred N
P00266,Cohen,koen,,3,1938;1942;1950,3,Cohen
P00267,Cohen Victot·,koen viktot,,1,1938,1,Cohen Victot·
P00268,Cohenca Monis,koenka monis,,3,1938;1942,2,Cohenca Monis
P00269,Collier Henry Dewat·d,kolier henri deuatd,,1,1938,1,Collier Henry Dewat·d
P00270,Constant Benjamin,konstant bengamin,,2,1938;1950,2,Constant Benjamin
P00271,Constant,konstant,,1,1938,1,Constant
P00272,Constantinescu Michel Ingénicut·,konstantinesku mishel ingenikut,,1,1938,1,Constantinescu Michel Ingénicut·
P00273,Constantinidis Emile,konstantinidis emil,,1,1938,1,Constantinidis Emile
P00274,Conti Ettore,konti etor,,1,1938,1,Conti Ettore
P00275,Cossery Edouard,koseri eduard,bey,4,1938;1942;1947;1950,4,Cossery Edouard
P00276,CI·ame1·-Robm·ts F. W,siam robmts,,1,1938,1,CI·ame1·-Robm·ts F. W
P00277,Crespi Silvio,krespi silvio,,1,1938,1,Crespi Silvio
P00278,Critchley T.A.F,kritshlei,,4,1938,1,Critchley T.A.F
P00279,Curie! Elie M,kuri eli,,1,1938,1,Curie! Elie M
P00280,Curie! Maurice E,kuri mauris,,4,1938;1947;1950,3,Curie! Maurice E | Curiel Maurice E
P00281,Dabbah Maut·icc,dabah mautik,,2,1938,1,Dabbah Maut·icc
P00282,Davis T. A,davis,,8,1938;1950,2,Davis T. A | Davis T.A
P00283,Delany,delani,,2,1938,1,Delany
P00284,Dclaquis René,dklakuis ren,,1,1938,1,Dclaquis René
P00285,Deleuze C,deleuz,,1,1938,1,Deleuze C
P00286,Dcliyanni Basile,dkliani basil,,1,1938,1,Dcliyanni Basile
P00287,Dellaporta Byron G,dklaporta biron,,16,1938;1942;1950,3,Dcllaporta Byron G | Dellaporta Byron G
P00288,Det·vieu P,detvieu,,1,1938,1,Det·vieu P
P00289,Destrée René,deslt ren,,4,1938;1947,2,Deslt'ée René | Destrée René
P00290,Diacono Ileclot· V,diakono ileklot,,2,1938,1,Diacono Ileclot· V
P00291,Diucono R. O,diukono,,2,1938,1,Diucono R. O
P00292,Dierman Piel'l'c,dierman piel,,1,1938,1,Dierman Piel'l'c
P00293,Dol'l'a Jacques,dol gakues,,1,1938,1,Dol'l'a Jacques
P00294,Dubanc Joseph Me,dubank gosef m,,1,1938,1,Dubanc Joseph Me
P00295,Dubied Pierre,dubied pier,,3,1938;1942;1947,3,Dubied Pierre
P00296,Dulœs Et·ic,duloes etik,,1,1938,1,Dulœs Et·ic
P00297,EHiatoun Mohamcd,eiatun moamkd,pasha,1,1938,1,EHiatoun Mohamcd
P00298,Eicl Raymond,eikl raimond,,1,1938,1,Eicl Raymond
P00299,Eliasco J. C,eliasko,,3,1938,1,Eliasco C. J | Eliasco J. C
P00300,Le Caire,l kair,,10,1938;1947;1950,3,Banque Misr Siège du Caire | Caire | Le Caire
P00301,Eloui Mme Elisabeth,elui m elisabeth,,1,1938,1,Eloui Mme Elisabeth
P00302,Général de la Misr Airwork,general la misr airuork,,1,1938,1,Général de la Misr Airwork
P00303,El Sayed Abdel Rahman,saied abdel rahman,bey,1,1938,1,El Sayed Abdel Rahman
P00304,El-Toukhy Abdel Baki Taha,tukhi abdel baki ta,,1,1938,1,El-Toukhy Abdel Baki Taha
P00305,El-Toul hy Abdel Fattah Taha,tul hi abdel fatah ta,,1,1938,1,El-Toul hy Abdel Fattah Taha
P00306,EI-Toukhy El Sayed Ahmed,ei tukhi saied ahmed,,1,1938,1,EI-Toukhy El Sayed Ahmed
